":-)",4
"À mon avis, il faudra surveiller comment il évolue.",2
"À mort le projet annuel !!!",4
"À partir de 1969, il étudie les interactions entre les personnes et conçoit des mini-scénarios qui seront la base de la processus Com et pour lesquels il reçoit en 1977 le prix scientifique Éric Berne.",6
"A quelle date avez vous transmis les élément ? Marion est absente cette fin de semaine et reprendra contact avec vous lundi.",6
"À votre avis que devrions-nous faire ?",2
"Accordez-moi 15 minutes afin que je vous donne les nouvelles informations sur le projet.",3
"Ah c'est tard !",4
"Ah oui !!",4
"Allez à+!!",4
"Allons droit au but.",3
"Allons-y tous ensemble et jusqu'au bout du monde.",3
"Alors si le processus communication peut apporter son éclairage...",5
"Appliquez tout de suite ce que vous allez apprendre.",3
"Apprécies-tu ?",2
"Apprends la leçon et ne recommence plus.",3
"Apprends quelques sorts.",3
"Après tu vois le positif et le négatif.",6
"Après votre première leçon d'observation, je vais maintenant vous apprendre à invoquer votre balai.",6
"Arrête !",3
"Arrete de m'analyser batard.",4
"Arrête de toucher à mes affaires.",3
"Attrape la balle.",3
"Autant dire que tu n'as aucune notion du temps qui passe.",6
"Avant tu appuyais sur un bouton et ça se faisait tout seul mais maintenant c'est terminer.",6
"Avec ou sans vous moi j'y vais.",3
"Avec un bureau aussi mal rangé, je ne m'étonne plus que tu sois aussi nul !",6
"Ça ! Vous avez de beaux diplômes, mais pour mener un projet à bien, c'est la médiocrité générale !",3
"Ça doit se finir aujourd'hui!",3
"Ça peut certainement être intéressant...",5
"Ça va.",3
"Calme toi.",3
"Calme toi.",3
"Ce lieu est agréable, on y voit des couleurs douces et apaisantes.",1
"Ce modèle est utilisé dans de nombreuses organisations, en Amérique, en Europe et au Japon.",6
"Ce n'est jamais moi qui suis sélectionné.",2
"Ce n'est pas ma faute !",4
"Ce n'est peut-être pas la bonne façon de faire...",5
"Ce pull était moins cher hier j'en suis sur.",2
"Ce qui compte c'est l'observation de ce qui se passe en soi et autour de soi...",5
"Ce repas est exquis, tellement succulent que je vais en reprendre.",1
"Ce soir il y a déjà la restitution à faire.",3
"Ce soir on lira des poèmes.",6
"Cela me fait penser aux relations avec les autres...",5
"Cela me fait plaisir de t'inviter au restaurant.",1
"C'est à peu près ce que je pense.",5
"C'est bien à cela que je dédie.",2
"C'est bon !!",4
"C'est comme vous voulez.",1
"C'est dans la relation que l'on découvre qui l'on est...",5
"C'est dégeu, c'est toi qui dessine comme un pied.",4
"C'est déjà lui.",3
"C'est exquis, j'adore ce gout et ces saveurs que tu me proposes.",1
"C'est fort probable, mais on n'est pas sur à 100%.",5
"C'est l'anniv de mon frangin bientôt, je lui ai trouvé un truc trop cool.",4
"C'est nul ça.",4
"C'est parfois tellement confus...",5
"C'est pas mal.",4
"C'est pas moi c'est lui !",4
"C'est pas normal.",4
"C'est possible de le faire le chemin en voiture mais on peut le faire aussi à pied.",5
"C'est quoi une clé réseau pour connecter une imprimante.",6
"C'est sur les champs de bataille que les valkyries choisissent et emmènent les hommes les plus braves et les plus valeureux afin de les ramener à Ásgard, où Odin les attend pour les préparer à la bataille finale, le Ragnarök.",6
"C'est toujours sur moi que ça tombe... Je n'ai vraiment pas de chance...",1
"C'est tout ?",3
"C'est trop cool.",4
"C'est un honneur pour moi de compter quelqu'un comme vous.",2
"C'est vraiment super !",4
"C'est-à-dire que l'expert marketing mesure les modifications visibles de l'organisme induite par les réactions affectives, par exemple : expressions faciales, dilatation des pupilles, conductance de la peau ou le système de reconnaissance d'émotion Return On eMotion développés par Datakalab...",6
"C'était pour des courtiers donc ils ont parlé de ce que c'était et comment ça fonctionnait et ils ont parlé de la liaison avec l'assurance.",6
"champion !!!",4
"Chaque terme est accompagné d'une traduction, d'une image, d'une phrase d'exemple et d'un fichier audio où le mot est prononcé.",6
"Commencez ! Et tout de suite.",3
"Comment évalues-tu ce candidat ?",2
"Comment peut-on faire ?",6
"Comment puis-je t'aider ?",1
"Comment résoudre ce problème de façon efficace et originale ?",4
"Comment vas-tu ?",1
"Courage ça va aller.",2
"Croyez bien que je suis sensible à la confiance que vous me témoignez.",2
"Dans le tchat, y'a un mec qui fait ça tout les soirs.",4
"Dans les 10 chapitres et 200 pages qui me composent.",6
"Dans mon jardin il y a des fraises, des cerises, des pêches et des bananes.",6
"Débrouilles-toi je ne suis pas ta mère.",3
"Dépechez-vous c'est une série spéciale.",3
"Deux représentations symboliques se démarquent : la douce et l’austère. La première se réfère à la douce mort qui libère des souffrances infinies auxquelles la vie nous oblige. La deuxième vient souligner le côté cruel, froid et irrémédiable qu’elle peut prendre lorsque les proches du défunt le pleurent.",6
"Deuxièment de mieux communiquer avec les autres.",6
"Développée essentiellement depuis les années 2000, elle est particulièrement utilisée en marketing pour analyser par exemple les commentaires des internautes ou les comparatifs et tests des blogueurs ou encore les réseaux sociaux : une grande part de la littérature sur le sujet concerne par exemple les tweets.",6
"Dites-moi quelles sont vos responsabilités.",3
"Donne la patte.",3
"Eh !",4
"Eh ben tu sais quoi ?",4
"Elle propose des outils pour expliciter les problèmes rencontrés lors d'une mécommunication, les résoudre et rétablir la communication.",6
"En me projetant avec toi, j'irais bien vivre en Russie.",2
"En plus on fêtera mon anniversaire et ils trouvent toujours le cadeau qui fait mouche.",6
"En résumé ce serait une phrase en entrée, et en sortie il y aurait une des 6 catégories.",6
"En résumé il faudrait aller dans ce sens.",6
"Enfin, nous vous montrons pour chaque mot une phrase d'exemple et sa traduction.",6
"Ensuite a rejoint la famille.",6
"Essayer de ne pas faire de bruit pour ne pas réveiller les autres.",1
"Essayons une autre méthode et voyons où ça nous mène…",3
"Est-ce que tu m'aimes pour moi-même ?",1
"Est-ce que tu te sens bien ?",1
"Et si jamais on échouait.",5
"Et si je ne pouvais pas y arriver.",5
"Et si je ne reussissais pas mon exams... qu'est ce qui se passerait ?",5
"Et si notre relation ne menait à rien.",5
"Et si ses parents nous voyaient .",5
"Eventuellement on pourrait faire comme tu nous le préconnise.",5
"Excuse moi pour ça, je ne recommencerais plus.",1
"Excuse moi, j'étais complétement dans mon sujet.",1
"Fais ton choix.",3
"Fais-le.",3
"Faites-moi une proposition.",3
"Fantastique.",4
"Faut que tu gères bien ton planning.",3
"Fonces-tu n'a rien à perdre?",3
"Franchement je veux.",2
"gg les mec",4
"Hé!",4
"Hey ça va ?",4
"Hey c'était excellent ce ptit poirier.",4
"Ho...",4
"Hum c'est comme un cassoulet c'est trop bon.",4
"Hypothétiquement je peux y arriver.",5
"Il avait les lèvres brulantes quand il l'a embrassé.",1
"Il connut la mélancolie des paquebots, les froids réveils sous la tente, l'étourdissement des paysages et des ruines, l'amertume des sympathies interrompues.",6
"Il essait de vous monter tous contre moi.",2
"Il est aussi loyal qu'un chien envers son maître.",2
"Il est d'une assiduité sans failles.",2
"Il est essentiel d'apprendre un maximum sur un animal avant de l'approcher.",2
"Il est important de passer par une phase de conception pour que le travail soit bien réalisé.",2
"Il fait beau profité.",3
"Il fait froid comme dans un frigo ici.",1
"Il faut les récupérer immédiatement.",3
"Il idolâtre les dieux de la mythologie vikings.",2
"Il l'adule complètement et il ne se rend pas compte qu'il est humain.",2
"Il m'a présenté sa thèse et il m'en a mis plein la vue.",1
"Il reste 10h avant le rendu.",6
"Il s'agit là de deux thèmes essentiels pour moi, et je le crois, pour vous aussi.",2
"Il se peut que j'aie envie de te rencontrer.",5
"Il y a besoin de le faire signer le rapport .",1
"Il y a des sentiments que je ne peux pas exprimer avec des mots.",1
"Il y a une chorale ici .",6
"Il y aura surement des répercussions.",5
"Ils doivent tous pensés que je suis blizzard.",2
"Ils me vénèrent tous.",2
"Ils ont des points de vue très différents des miens, mais étonnement on arrive à ce que ça marche quand même.",6
"Ils ont toujours de bons conseils et de bonnes idées.",6
"Ils sont frais mes poissons.",3
"Imaginez la direction dans laquelle on pourrait partir.",5
"Imaginons que l'on suive ton chemin, tu penses on sera arrivé avant les autres .",5
"Impose ton choix.",3
"J'accepte.",3
"J'accomplirai joyeusement mon destin qui est de donner le sourire aux autres.",1
"J'achete.",3
"J'adore qu'on soit ensemble.",4
"J'adore sentir le contact de l'eau sur ma peau.",1
"J'ai à coeur de contribuer à ce que des gens comme vous accroissent leur niveau de conscience.",2
"J'ai besoin de te parler pour poser les choses à plat.",1
"J'ai confiance en toi.",2
"J'ai de la peine pour ce que tu es en train de vivre.",1
"J'ai de nombreuses valeurs dont vous pourriez jouir.",2
"J'ai des amis et des mentors.",3
"J'ai dit ce que je ferais et je ferais ce que j'ai dit.",2
"J'ai envie de manger une pizza !",4
"J'ai envie d'être complètement parcouru par vous.",1
"J'ai envie d'une énorme glace pour faire disparaitre cette chaleur en moi.",1
"J'ai fini aujourd'hui.",3
"J'ai fini hier et j'attends les résultats.",6
"J'ai flairé le bon filon avec ses actions du bit coin.",1
"J'ai la flemme de le faire.",4
"J'ai la profonde conviction que le processus communication est une approche, une pratique efficace.",2
"J'ai l'air d'une loque.",5
"J'ai le droit de sortir de table ?",2
"J'ai mal dormis cette nuit.",4
"J'ai toujours pensé que c'était la meilleure option.",2
"J'ai tout donné à ma famille, à mon entreprise, vous ne pouvez pas comprendre !",2
"J'ai un rendez-vous.",3
"J'ai une petite chose à dire.",1
"J'aime bien caresser le chat, il es trop doux.",1
"J'aime être avec vous.",1
"J'aimerais devenir votre compagnon.",1
"J'aimerais réfléchir à la meilleure façon de résoudre ce problème.",5
"James Bond je présume.",2
"J'apprécie de travailler avec vous.",2
"J'apprécie le geste, il me va droit au coeur.",1
"J'apprécie ta présence.",2
"J'attends que tu sois là",5
"Je brûle d'impatience à l'idée de te revoir.",1
"Je capte tous les rayons du soleil sur ma peau.",1
"Je capte votre chaleur c'est délicieux.",1
"Je comprends ce que tu veux dire.",1
"Je comprends mieux pourquoi tu es toujours en colère.",2
"Je crois dans les valeurs que mes parents m'ont enseignées.",2
"Je crois que je commence à comprendre le principe de ce jeu.",2
"Je crois que je peux faire mieux que toi.",2
"Je crois que tu penses de travers",2
"Je devine votre sourire même quand tu es de dos.",1
"Je dois te laisser.",3
"Je doute de tout... de mes compétences ... des autres...",5
"Je doute que l'on puisse faire ça.",5
"Je le prends.",3
"Je le soupçonne de nous voler.",2
"Je le trouve un peu hautain.",2
"Je m'arrangerai pour être disponible lors de votre prochaine visite.",2
"Je me demande si nous ne pourrions pas réfléchir chacun de notre côté à ces sujets.",5
"Je me réjouis de partager avec vous les apports de cette méthode.",2
"Je me sens bien.",1
"Je me tâte sur la meilleure position à adopter.",5
"Je me tâte sur la situation.",5
"Je m'engage à prendre soin de moi autant que je prends soin des autres",2
"Je m'investis à 100% dans notre relation.",2
"Je m'y engage à 100%.",2
"Je n'ai jamais de place pour me garer devant ma porte.",2
"Je ne le sens pas.",1
"Je ne peux ni le voir ni le sentir ni l'entendre.",6
"Je ne peux pas te sentir, tu me donnes la chair de poule à chaque fois que je te vois.",1
"Je ne sais pas ce que je vais faire...",5
"Je ne sais pas comment il va le présenter mais je pense que ce n'est pas possible.",2
"Je ne sais pas quoi faire.",5
"Je ne sens pas trop bien cette méthode… je serai plus à l'aise si nous en tentions une méthode différente.",1
"Je ne serais pas roi si j'avais les sentiments des particuliers.",1
"Je ne suis pas du tout certain que tu puisses m'apporter une aide quelconque.",5
"Je ne suis pas du tout sur de le vouloir.",5
"Je ne suis pas tout à fait convaincu par ce que tu avances.",2
"Je ne veux pas aller voir deadpool 2!",4
"Je nous vois bien dansez sous le gui une petite valse.",1
"Je parfume mes crêpes avec une pointe de vanille.",1
"Je parie que si tu arroses cette plante, tu te feras une amie pour la vie.",4
"Je pense que je peux le faire, enfin probablement...",5
"Je pense que je peux me faire engager facilement.",2
"Je pense que le préstataire n'était pas là le jour où il devait arriver.",2
"Je pense que ta présence est plus que recommandée.",2
"Je pense qu'il est triste.",2
"Je pense qu'on doit le dire à ta soeur.",2
"Je perçois votre respiration, même les yeux fermés avec la chaleur de ton souffle.",1
"Je peux améliorer ça en découpant la tâche en plein de petites taches, comme cela on verra un avancement.",6
"Je peux le faire en moins d'une heure.",6
"Je peux le faire plus tard si tu veux.",5
"Je préfére être avec les petits.",4
"Je prête allégeance, pour protéger la veuve et l'orphelin.",2
"Je propose d'aller manger",2
"Je propose de vous donner mes informations sur le projet en suivant vos interrogations, cela vous convient-il ?",2
"Je ressens de la peine.",1
"Je sais que je peux vous faire confiance.",2
"Je savoure notre relation d'une rare intensité.",1
"Je sens aussi votre regard caresser avec douceur les mots imprimés sur ma peau de papier.",1
"Je sens avec délectation vos mains me tenir, vos doigts ouvrir ma couverture puis feuilleter mes pages.",1
"Je sens que je vais perdre pied, je suis tellement émue parce que tu m'offres.",1
"Je sens tes paroles se déverser le long de mes oreilles.",1
"Je serais heureux de vous écouter mardi prochain au sujet de votre étude.",1
"Je souhaite que tu aies le job de tes rêves.",1
"Je suis à ta disposition pour tout et n'importe quoi.",1
"Je suis content que tu sois avec nous.",2
"Je suis convaincu de faire le bon choix.",2
"Je suis dans une grande confusion à cause de mes notes et des examens qui arrivent.",5
"Je suis désolé de déranger, vraiment je m'en veux.",1
"Je suis heureux que l'on discute ensemble de ces trois sujets.",1
"Je suis là pour toi si tu as besoin.",1
"Je suis perplexe devant ça...",5
"Je suis persuadé que c'est la meilleure des solutions.",2
"Je suis persuadé que tu es dans le faux.",2
"Je suis profondément attaché à notre relation.",2
"Je suis ravi de t'entendre dire ça.",1
"Je suis ravie que vous travailliez ici.",1
"Je suis reconnaissante d'avoir la possibilité de servir.",2
"Je suis sincèrement attaché à toi.",1
"Je suis sincèrement désolé, et je m'en excuse.",1
"Je suis sur qu'ils m'en veulent tous.",2
"Je suis tellement en colère que je vois rouge.",1
"Je suis totalement dévoué à la cause.",2
"Je suis toujours dans la mauvaise file au supermarché et la caissière est forcément stagiaire avec une mamie devant qui paye par chèque et trois pièces d’identité.",2
"Je suis un livre qui ressent tellement fort les choses.",1
"Je suis un livre, Ok mais je n'aime pas le bla-bla-bla",3
"Je suis vraiment trop nul.",1
"Je suppose que je vais devoir le faire.",2
"Je suppose que tu as raison.",5
"Je t'adore tout simplement.",1
"Je te jure pendant facilement 10 minutes j'avais l'impression d'être avec toi.",2
"Je te veux.",3
"Je t'en fais le serment.",2
"Je t'en supplie essayé de me croire.",2
"Je tiens à ce que nous fassions ce travail ensemble.",1
"Je trouve qu'il chante correctement dans cette chorale.",2
"Je vais considérer la question...",5
"Je vais peut-être dire une bêtise...",1
"Je vais peut-être faire du sport.",5
"Je vais trop bien.",4
"Je vais y songer...",5
"Je veux que ce soit rapide et efficace.",3
"Je veux que vous alliez droit au but.",3
"Je vois que tu ne passes pas par quatre chemins",2
"Je vois que tu n'es pas d'accord avec mon propos",2
"Je vous aurais prévenu !",4
"Je vous prouverai que vous avez tort et vous vous excuserez !",2
"Je vous souhaite une bonne lecture.",2
"J'en ai la chair de poule.",1
"J'en ai vu de toutes les couleurs.",1
"J'en déduis que tu vas arriver en retard.",6
"J'entends je comprends bien mais essaie de te mettre à leur place.",1
"J'éprouve de grandes difficultés à communiquer avec toi.",1
"J'espère que ce que tu dis se réalisera.",5
"J'espère que tu auras ton année sans trop d'obstacles.",1
"J'espère que tu vas te soigner vite.",1
"J'espère qu'elle en a congelé....",5
"J'espère qu'elle en a congelé.",1
"J'estime que vous avez injurié mon ami.",2
"J'étais à mon bureau, tu sais assis, et je tapais mon code, et d'un coup plus d'élétrécité, et comme j'avais pas sauvegarder, c'est pour ça que je n'ai rien à te présenter.",6
"J'imagine que nous pourrions faire ça.",5
"J'imagine ta moue boudeuse",5
"J'observe que tu n'arrives jamais en retard",2
"Joue tes cartes.",3
"J'sais pas.",4
"Jure, moi j'l'aurais pas fait comme ça.",4
"La caipirinha (prononcé « caïpirigna » : la petite caipira (Rustique)) est un cocktail brésilien préparé à base de cachaça, de sucre de canne et de citron vert.",6
"La dernière fois qu'on m'a parler d'échantillon et de test, on m'a dits que j'avais le sida.",4
"La feijoada est un plat très populaire au Brésil et au Portugal, à base de haricots noirs (feijão : haricot en Portugais) et de viande de porc.",6
"La plupart pensent que je suis un faiblard inutile ou un intello coincé mais toi tu es blizzard comme moi.",6
"La seule fois où j'ai perdu c'est que j'étais distrait.",6
"Laisse-moi parler.",3
"Laisse-moi revérifier.",6
"Laisse-moi seul j'ai besoin de temps pour moi",5
"Laisse-moi tranquille",5
"L'amour désigne un sentiment intense d'affection et d'attachement envers un être vivant ou une chose qui pousse ceux qui le ressentent à rechercher une proximité physique, spirituelle ou même imaginaire avec l'objet de cet amour et à adopter un comportement particulier.",6
"L'analyse de sentiment (parfois appelée opinion mining) est la partie du texte mining qui essaye de définir les opinions, sentiments et attitudes présentent dans un texte ou un ensemble de textes.",6
"L'analyse de sentiment demande bien plus de compréhension de la langue que l'analyse de texte et la classification par sujet. En effet, si les algorithmes les plus simples considèrent uniquement les statistiques de fréquences d'apparition des mots, cela se révèle en général insuffisant pour définir l'opinion dominante dans un document, surtout lorsque le contenu est court comme des messages dans un forum ou des tweets.",6
"Lance toi.",3
"Lancez vos dés.",3
"Le chat domestique (Felis silvestris catus) est la sous-espèce issue de la domestication du chat sauvage, mammifère carnivore de la famille des félidés",6
"Le consommateur retranscrit ce qu'il ressent, à l'oral, à l'écrit ou sur les réseaux sociaux.",6
"Le processus communication, c'est fait pour avoir des résultats et rapidement.",3
"Le projet est bien défini maintenant.",3
"Les choses se passent trop bien, quelque chose de mal va arriver.",1
"Les réactions affectives (emotion ", sentiment ", humeur...) sont alors directement obtenues par des mesures physiologiques.",6
"Les techniques visant à déterminer un (ou plusieurs) sentiments généraux comme l'envie, la colère, la frustration ou la joie relèvent plus d'une forme d'adaptation des méthodes de découverte de sujet (topic discovery) ou de méthodes de classification.",6
"Les ténèbres envahissaient la pièce, c'était angoissant et très éprouvant à vivre.",1
"Les trompettes, les flûtes, les hautbois et les tambours tout cela sont des instruments de musique.",6
"L'expert marketing récupère alors les données via des questionnaires, des enregistrements, une netnographie.",6
"Lisez-moi.",3
"lol",4
"Ma collègue a quatre mois d’ancienneté de plus, elle a fait douze heures supplémentaires, mais elle est position 2 et moi position 3, moins les RTT et le prorata ticket restau, d’où sortent ses 3 euros et 9 centimes de plus que moi .",2
"Mais avant de pouvoir faire cela, vous devez apprendre à vous en occupe.",6
"Mais c'est pas une raison pour être barbant, pas vrai?!",4
"Mais elle peut également être utilisée pour sonder l'opinion publique sur un sujet, pour chercher à caractériser les relations sociales dans les forums ou encore pour vérifier si Wikipédia est bien un média neutre.",6
"Mais oui je serais toujours là.",2
"Mais parfois c'est difficile d'y voir clair...",5
"Mange ces brocolis.",3
"M'apprécies-tu ?",1
"mdrrr",4
"Même si tu as juste, tu ne penses pas que je puisse aussi avoir juste ?",5
"Mes parents on commandé une nouvelle bagnole.",4
"Mets des trucs drôles.",3
"Mieux se connaître...",5
